GET,POST,COOKIE,REQUEST,FILES,SESSION,elseif,for,foreach,DEF,FAF,RCF,ICF,maxWordLen,maxLineLen,entropy,Type
7,330,0,0,0,0,0.324,0.433,1.028,5,45,10,141,560,372,5.856,1
0,1,0,0,0,0,0.781,0,0,0,2,0,0,453,114,5.152,1
0,0,0,0,0,0,1.942,0.971,0,0,1,0,1,44,115,5.266,1
111,88,0,0,42,3,0.324,0.809,0.378,12,51,99,104,8867,8886,5.777,1
0,251,42,0,2,0,1.903,0.884,1.7,4,81,14,156,784,785,5.512,1
0,0,0,0,0,0,0.361,1.203,0.963,2,15,1,21,416,173,5.618,1
95,67,2,80,4,47,1.51,1.342,0.671,6,98,22,370,727,2932,5.696,1
14,4,0,22,0,14,0.209,0.628,0.732,1,12,2,129,1047,1047,5.958,1
4,3,5,269,5,0,1.499,0.779,1.139,3,152,14,227,240,2922,5.724,1
1,2,0,0,0,0,0.422,0,0,0,5,4,7,167,229,5.345,1
0,37,0,7,0,0,0,0.285,0.357,0,17,0,24,160,252,6.102,1
4,3,5,331,7,0,2.718,1.075,1.58,3,133,10,223,333,2794,5.626,1
7,3,2,7,0,0,2.669,0.293,2.214,18,143,49,254,422,1458,5.614,1
5,4,0,0,0,0,0,3.053,0.763,0,6,0,4,416,167,5.565,1
2,2,0,0,0,0,0,0,0,0,4,0,0,416,130,5.635,1
0,24,0,0,0,0,0.862,0,0.575,1,20,2,42,84,289,5.575,1
0,0,0,0,0,0,0,0,0,0,1,0,2,56,317,5.212,1
1,0,0,0,0,0,2.381,0,4.762,0,0,0,1,48,106,4.574,1
0,0,0,16,0,20,0.763,0,0,0,4,0,1,44,125,5.319,1
0,4,0,0,0,0,0,0,1.546,0,3,0,23,659,919,5.55,1
0,0,0,0,0,0,1.646,0.823,0,0,0,0,17,58,232,5.21,1
0,0,0,0,0,0,0,0,0,0,1,2,64,249791,251949,6.024,1
6,23,1,0,2,0,5.58,0.446,0,0,1,2,5,103,136,5.938,1
0,0,0,0,0,0,0,0,0,0,1,0,20,31,111,5.142,1
0,0,0,0,0,0,0,0.155,0,0,0,0,0,79,0,5.089,1
2,6,0,0,0,0,1.437,0.12,0,0,0,0,90,281,259,4.99,1
9,3,0,2,0,0,1.108,0.277,0.277,2,16,0,36,92,562,5.64,1
0,2,0,0,0,0,0.505,0,0,0,2,0,4,84,154,4.967,1
4,0,0,0,0,0,3.297,0,0,0,26,3,19,197,462,5.45,1
7,9,0,0,2,0,0,0.284,0.568,0,4,17,33,93,162,5.389,1
0,0,0,0,0,0,0,0,0.962,0,1,0,0,42,72,5.289,1
6,44,0,0,0,0,0,0,0,1,3,1,57,55,415,5.393,1
0,4,0,0,3,0,0,0,0,0,0,0,5,60,110,5.361,1
10,26,0,0,2,0,1.121,0,0.224,0,16,4,37,59,248,4.629,1
0,42,0,0,2,0,0,2.395,0,16,18,0,15,265,452,5.608,1
0,0,0,0,0,0,0,0,0,0,1,0,51,64,341,5.197,1
4,3,0,143,0,0,5.503,0.157,0.314,10,40,15,122,1345,1519,5.613,1
7,29,0,0,3,0,4.196,0.35,1.399,0,4,5,26,80,122,5.424,1
0,0,0,0,0,0,0,0,0,1,0,0,54,80,80,5.675,1
0,224,0,0,3,0,0.158,0.789,1.42,2,24,2,44,327,484,5.596,1
0,0,0,0,0,0,0.179,0.09,0,0,0,0,0,105,0,5.371,1
0,0,0,16,0,20,0.787,0,0,0,4,0,1,56,120,5.29,1
3,7,0,0,3,7,0.934,2.122,0.594,0,9,2,30,195,359,5.359,1
0,35,0,0,2,0,7.011,1.107,0.369,6,8,0,26,1312,1313,5.739,1
15,48,2,7,0,0,2.689,0.275,1.986,18,152,52,304,31483,31483,5.877,1
0,0,0,5,0,0,0.723,0.241,1.044,11,40,7,40,135,178,5.325,1
0,0,0,0,0,0,0,1.246,0,0,15,4,18,118,1520,5.352,1
0,15,0,0,5,0,0,0,0,0,38,3,0,50,240,5.452,1
0,0,0,0,0,0,1.942,0.971,0,0,1,0,1,44,115,5.266,1
0,0,0,2,0,0,0,0,0,0,0,0,0,28,34,5.013,1
20,39,2,4,4,0,0.624,0.208,1.455,9,11,15,39,92,501,4.682,1
0,156,0,0,2,23,2.253,0.683,1.98,1,122,18,145,254,695,5.555,1
0,0,0,0,0,0,0,0,0,0,0,0,0,2980,0,5.541,1
0,42,0,0,2,0,0,2.395,0,16,18,0,15,265,310,5.562,1
0,14,0,0,0,0,1.377,0,1.102,0,25,0,2,91,134,5.096,1
0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,5.451,1
2,2,0,0,0,0,1.575,0.225,0,0,1,0,84,81,293,5.308,1
0,6,0,0,2,0,0,0,0,0,4,0,2,48,95,4.701,1
0,3,0,0,0,0,1.695,0,0,0,0,0,0,51,180,4.903,1
0,2,0,0,0,0,0,0,0,0,0,0,13,66,199,5.277,1
0,0,0,0,0,0,0,0,1.099,0,4,0,0,85,261,4.701,1
6,52,0,0,2,0,0.79,0.702,1.317,1,37,5,42,134,343,5.327,1
0,0,0,0,0,0,0,0,0.855,0,3,0,11,92,557,5.3,1
0,0,0,0,0,0,0,0.513,0,0,0,0,0,79,0,4.753,1
1,4,0,0,0,0,0,0,0,0,0,0,0,41,91,5.298,1
0,32,0,0,0,0,2.74,0,1.761,3,5,0,32,99,458,5.444,1
3,42,0,0,0,0,0.512,0.256,0.256,1,14,1,33,84,476,5.387,1
1,0,0,1,7,0,0,0,0,0,1,0,1,100,153,5.249,1
0,8,0,0,0,0,0.344,0,0,0,3,0,5,84,154,5.099,1
0,21,0,0,2,0,5.926,0,0.741,3,9,0,61,194,322,5.299,1
0,3,0,0,2,0,0,0,0,0,0,0,3,30,40,5.217,1
1,1,0,10,0,0,2.395,0.599,1.198,1,42,0,16,1315,1315,5.759,1
0,42,0,0,2,0,0,2.395,0,16,18,0,15,265,309,5.563,1
2,6,0,0,0,0,1.448,0.121,0,0,0,0,90,87,260,4.882,1
0,0,0,15,0,0,0,0,0,0,1,0,0,65,142,5.394,1
5,65,0,0,2,0,0.725,0.29,0.435,11,11,0,17,14034,314,5.94,1
0,0,0,0,0,0,0,0.595,0,0,0,0,7,92,546,5.339,1
43,38,0,0,2,29,2.256,1.203,1.353,1,21,4,35,106,206,5.81,1
1,2,0,0,0,0,0.422,0,0,0,5,4,7,167,229,5.345,1
20,104,2,0,2,0,3.077,0.513,0.342,1,71,10,53,156,566,5.912,1
14,46,0,0,3,2,8.745,0.564,0.423,3,38,22,49,105,1925,5.346,1
1,4,1,41,6,0,3.015,0,2.01,0,25,2,1,76,447,4.888,1
2,2,0,0,0,0,0,0,0,0,4,0,0,55,130,5.581,1
2,20,0,0,6,0,0.568,0,0,4,1,0,5,39,102,5.658,1
0,42,0,0,2,0,0,2.395,0,16,18,0,15,265,310,5.563,1
0,0,0,0,0,0,0,0.69,0,0,13,0,66,66,135,4.391,1
0,24,0,0,0,0,0.862,0,0.575,1,20,2,42,92,602,5.622,1
2,2,0,0,0,0,1.575,0.225,0,0,1,0,85,81,293,5.308,1
0,152,0,0,2,23,2.326,0.705,2.044,1,121,18,144,254,695,5.551,1
0,0,0,0,0,0,0,0,0,0,0,0,1,162,19,5.499,1
0,0,0,0,0,0,0.769,0,0.44,0,7,0,48,92,459,4.454,1
2,6,0,0,6,0,1.375,0,0,1,14,0,50,80,466,5.472,1
3,3,0,143,0,0,5.993,0.171,0.342,11,42,15,120,1349,1785,5.552,1
5,4,0,0,0,0,0,3.077,0.769,0,6,0,4,69,167,5.515,1
1,53,0,0,2,10,5.156,0,0,1,46,11,38,214,645,5.675,1
0,2,0,0,0,0,0,0,0,0,6,0,20,42,299,5.489,1
14,4,0,22,0,14,0.209,0.628,0.732,1,12,2,129,1047,1047,5.958,1
0,0,0,0,0,0,0,1.104,0,0,15,4,18,118,118,5.437,1
0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,5.322,1
6,52,0,0,2,0,0.759,0.675,1.266,1,37,5,41,134,346,4.84,1
